Id,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
127,2005-11-26,3.0,13.0,0.0,1.0,A,0.0,0.0,D,8.0,3.0,8.0,1.0,6.0,13.0,13.0,6.0,4.0,0.0,2.0,0.0,0.0,Ses2005/2006
128,2005-11-26,5.0,19.0,0.0,2.0,A,0.0,1.0,A,32.0,6.0,12.0,2.0,6.0,22.0,7.0,2.0,1.0,5.0,1.0,0.0,0.0,Ses2005/2006
129,2005-11-26,6.0,10.0,0.0,1.0,A,0.0,0.0,D,31.0,4.0,10.0,3.0,7.0,7.0,10.0,6.0,2.0,0.0,0.0,0.0,0.0,Ses2005/2006
130,2005-11-26,9.0,16.0,1.0,2.0,A,0.0,1.0,A,5.0,11.0,7.0,3.0,5.0,14.0,17.0,6.0,5.0,0.0,2.0,0.0,0.0,Ses2005/2006
131,2005-11-27,1.0,15.0,1.0,0.0,H,0.0,0.0,D,52.0,14.0,16.0,9.0,10.0,19.0,19.0,12.0,8.0,1.0,5.0,0.0,0.0,Ses2005/2006
132,2005-11-27,2.0,18.0,2.0,1.0,H,2.0,0.0,H,51.0,10.0,5.0,7.0,3.0,17.0,18.0,3.0,6.0,2.0,7.0,0.0,0.0,Ses2005/2006
133,2005-11-27,4.0,17.0,2.0,2.0,D,1.0,1.0,D,38.0,13.0,9.0,8.0,6.0,15.0,13.0,6.0,5.0,1.0,1.0,0.0,0.0,Ses2005/2006
134,2005-11-27,7.0,14.0,1.0,2.0,A,1.0,0.0,H,18.0,10.0,16.0,3.0,10.0,15.0,7.0,4.0,5.0,2.0,3.0,0.0,0.0,Ses2005/2006
135,2005-11-30,6.0,13.0,0.0,2.0,A,0.0,2.0,A,32.0,8.0,15.0,4.0,11.0,15.0,10.0,3.0,3.0,0.0,2.0,0.0,1.0,Ses2005/2006
136,2005-12-03,11.0,1.0,0.0,2.0,A,0.0,2.0,A,17.0,15.0,8.0,7.0,5.0,8.0,18.0,7.0,5.0,1.0,1.0,1.0,0.0,Ses2005/2006
137,2005-12-03,18.0,8.0,2.0,0.0,H,2.0,0.0,H,52.0,10.0,8.0,9.0,3.0,16.0,15.0,9.0,3.0,1.0,2.0,0.0,0.0,Ses2005/2006
